key
-able
"-acho, cha"
"hospitalero, ra"
"hospitalicio, cia"
"hostalero, ra"
"hostelero, ra"
"hostiero, ra"
"hostigador, ra"
"hostigoso, sa"
"hotelero, ra"
"hotentote, ta"
house
"hoyoso, sa"
"hozador, ra"
"huachafo, fa"
"huachafoso, sa"
"huachano, na"
"huailino, na"
"huamachuquino, na"
"huamalino, na"
"huamanguino, na"
"huanaco, ca"
"huancaneño, ña"
"huancavelicano, na"
"huancaíno, na"
"huangudo, da"
"huantino, na"
"huanuqueño, ña"
"huapanguero, ra"
"huaquero, ra"
"huarachudo, da"
"huaracino, na"
"huaralino, na"
"huarochirano, na"
"huaso, sa"
"huasquino, na"
"huasteco, ca"
"hueco, ca"
"huehueteco, ca"
"huelguístico, ca"
"huelveño, ña"
"huerco, ca"
"huero, ra"
"huertano, na"
"huertero, ra"
"huesero, ra"
"huesoso, sa"
"huesudo, da"
"hueteño, ña"
"huevero, ra"
"huevón, na"
"hugonote, ta"
"huidero, ra"
"huidizo, za"
"huido, da"
"huidor, ra"
"huilo, la"
"huisachero, ra"
"huizachero, ra"
"hulano, na"
"hulero, ra"
"hullero, ra"
"humacaeño, ña"
"humanitario, ria"
"humano, na"
"humanístico, ca"
"humectativo, va"
"humiento, ta"
"humildoso, sa"
"humillador, ra"
"humitero, ra"
"humorado, da"
"humoroso, sa"
"humorístico, ca"
"humoso, sa"
"huno, na"
"huracanado, da"
"huraño, ña"
"hurdano, na"
"hurgador, ra"
"hurgón, na"
"huronero, ra"
"hurtador, ra"
"hurón, na"
"husmeador, ra"
"huyuyo, ya"
"huérfano, na"
"huésped, da"
"háptico, ca"
"héctico, ca"
"hérnico, ca"
"héroe, ína"
"hérulo, la"
"héspero, ra"
"hético, ca"
"híbrido, da"
"hídrico, ca"
"hípico, ca"
"híspido, da"
"hístico, ca"
"hórrido, da"
"húmedo, da"
"húmico, ca"
"húmido, da"
"húngaro, ra"
"iatrogénico, ca"
"ibaguereño, ña"
"ibarreño, ña"
"iberio, ria"
"ibero, ra"
"iberoamericano, na"
"iberorrománico, ca"
"ibicenco, ca"
"ibérico, ca"
"icario, ria"
"icnográfico, ca"
"iconográfico, ca"
"iconológico, ca"
"iconólogo, ga"
"iconómaco, ca"
"icoroso, sa"
"ictericiado, da"
"ictiológico, ca"
"ictiófago, ga"
"ictiólogo, ga"
"ictérico, ca"
"ictíneo, a"
"icáreo, a"
"icástico, ca"
"icónico, ca"
"idalio, lia"
"ideador, ra"
"idealizador, ra"
"identificador, ra"
"identificativo, va"
"identificatorio, ria"
"identitario, ria"
"ideo, a"
"ideográfico, ca"
"ideologizado, da"
"ideológico, ca"
"ideoso, sa"
"ideático, ca"
"ideólogo, ga"
"idiográfico, ca"
"idiomático, ca"
"idiopático, ca"
"idiosincrásico, ca"
"idiosincrático, ca"
"ido, da"
"idolátrico, ca"
"idumeo, a"
"idéntico, ca"
"idílico, ca"
"idóneo, a"
"iglesiero, ra"
"ignaciano, na"
"ignaro, ra"
"ignavo, va"
"ignito, ta"
"ignominioso, sa"
"ignoto, ta"
"ignífero, ra"
"ignífugo, ga"
"ignívomo, ma"
"iguado, da"
"igualadino, na"
"igualado, da"
"igualador, ra"
"igualatorio, ria"
"igualitario, ria"
"igualón, na"
"iguanero, ra"
"ilativo, va"
"ilegítimo, ma"
"ilercavón, na"
"ilercaón, na"
"ileso, sa"
"iletrado, da"
"iliaco, ca"
"iliberitano, na"
"iliberritano, na"
"ilicitano, na"
"ilicíneo, a"
"ilimitado, da"
"ilirio, ria"
"iliterario, ria"
"iliterato, ta"
"iliturgitano, na"
"illapelino, na"
"ilocutivo, va"
"iluminado, da"
"iluminador, ra"
"iluminativo, va"
"ilusivo, va"
"iluso, sa"
"ilusorio, ria"
"ilustrado, da"
"ilustrador, ra"
"ilustrativo, va"
"ilustrísimo, ma"
"ilíaco, ca"
"ilícito, ta"
"ilíquido, da"
"ilírico, ca"
"ilógico, ca"
"imaginario, ria"
"imaginativo, va"
"imaginero, ra"
"imanador, ra"
"imbabureño, ña"
"imbatido, da"
"imbricado, da"
"imitador, ra"
"imitativo, va"
"imitatorio, ria"
"impagado, da"
"impago, ga"
"imparisílabo, ba"
"impedido, da"
"impedidor, ra"
"impeditivo, va"
"impensado, da"
"imperador, ra"
"imperativo, va"
"imperatorio, ria"
"imperecedero, ra"
"imperfectivo, va"
"imperfecto, ta"
"imperfeto, ta"
"imperioso, sa"
"imperito, ta"
"impertérrito, ta"
"impetrador, ra"
"impetratorio, ria"
"impetuoso, sa"
"impiadoso, sa"
"impiedoso, sa"
"implantador, ra"
"implicatorio, ria"
"implorador, ra"
"implosivo, va"
"implícito, ta"
"impoluto, ta"
"impolítico, ca"
"imponedor, ra"
"importado, da"
"importador, ra"
"importuno, na"
"imposibilitado, da"
"impositivo, va"
"impositor, ra"
"impostado, da"
"impostor, ra"
"imprecatorio, ria"
"impreciso, sa"
"impremeditado, da"
"impresivo, va"
"impresor, ra"
"imprevisor, ra"
"imprevisto, ta"
"imprimador, ra"
"improductivo, va"
"impropio, pia"
"improporcionado, da"
"improprio, pria"
"improvisado, da"
"improvisador, ra"
"improviso, sa"
"improvisto, ta"
"impróspero, ra"
"impróvido, da"
"impudoroso, sa"
"impuesto, ta"
"impugnador, ra"
"impugnativo, va"
"impulsador, ra"
"impulsivo, va"
"impulsor, ra"
"impunido, da"
"impuro, ra"
"imputado, da"
"imputador, ra"
"impávido, da"
"impío, a"
"impíreo, a"
"impúbero, ra"
"impúdico, ca"
in fraganti
in illo tempore
in integrum
in itinere
in medias res
in memoriam
in mente
in partibus
in partibus infidelium
in pectore
in perpetuum
in promptu
in púribus
in situ
in solidum
in statu quo
in terminis
in utroque
in utroque iure
in utroque jure
in vitro
in vivo
in voce
in-
"inacabado, da"
"inacceso, sa"
"inacentuado, da"
"inactivo, va"
"inadaptado, da"
"inadecuado, da"
"inadvertido, da"
"inafectado, da"
"inalterado, da"
"inalámbrico, ca"
"inameno, na"
"inamistoso, sa"
"inanimado, da"
"inaplicado, da"
"inaprensivo, va"
"inapropiado, da"
"inaprovechado, da"
"inapto, ta"
"inarmónico, ca"
"inarticulado, da"
"inartificioso, sa"
"inatento, ta"
"inaudito, ta"
"inaugurador, ra"
"inauténtico, ca"
"inaveriguado, da"
"incaico, ca"
"incapacitado, da"
"incasto, ta"
"incauto, ta"
"incendiario, ria"
"incensivo, va"
"incentivador, ra"
"incentivo, va"
"incertísimo, ma"
"incestuoso, sa"
"incierto, ta"
"incinerador, ra"
"incircunciso, sa"
"incircunscripto, ta"
"incircunscrito, ta"
"incisivo, va"
"inciso, sa"
"incisorio, ria"
"incitador, ra"
"incitativo, va"
"incivilizado, da"
"inclinador, ra"
"inclinativo, va"
"inclusero, ra"
"inclusivo, va"
"incluso, sa"
"incoativo, va"
"incogitado, da"
"incoloro, ra"
"incombusto, ta"
"incomodador, ra"
"incomparado, da"
"incompasivo, va"
"incomplejo, ja"
"incompleto, ta"
"incomplexo, xa"
"incomprendido, da"
"incomprensivo, va"
"incompuesto, ta"
"incomunicado, da"
"inconcino, na"
"inconcluso, sa"
"inconcreto, ta"
"inconcuso, sa"
"incondicionado, da"
"inconexo, xa"
"inconfesado, da"
"inconfeso, sa"
"incongruo, grua"
"inconsiderado, da"
"inconsulto, ta"
"incontaminado, da"
"incontestado, da"
"incontinuo, nua"
"incontrito, ta"
"incontrolado, da"
"incorpóreo, a"
"incorrecto, ta"
"incorrupto, ta"
"increado, da"
"increpador, ra"
"incriminatorio, ria"
"incruento, ta"
"incrédulo, la"
"incubador, ra"
"inculcador, ra"
"inculpado, da"
"inculpador, ra"
"inculpatorio, ria"
"incultivado, da"
"inculto, ta"
"incumplido, da"
"incumplidor, ra"
"incurioso, sa"
"incurso, sa"
"incursor, ra"
"incuso, sa"
"incásico, ca"
"incívico, ca"
"incógnito, ta"
"incómodo, da"
"indagador, ra"
"indagatorio, ria"
"indebido, da"
"indeciso, sa"
"indecoro, ra"
"indecoroso, sa"
"indefenso, sa"
"indefinido, da"
"indeliberado, da"
"indelicado, da"
"indemnizatorio, ria"
"indeseado, da"
"indeterminado, da"
"indevoto, ta"
"indezuelo, la"
"indiano, na"
"indianés, sa"
"indicado, da"
"indicador, ra"
"indicativo, va"
"indiciado, da"
"indiciador, ra"
"indiciario, ria"
"indicioso, sa"
"indiestro, tra"
"indiferenciado, da"
"indigerido, da"
"indigesto, ta"
"indigno, na"
"indijado, da"
"indino, na"
"indio, dia"
"indirecto, ta"
"indisciplinado, da"
"indiscreto, ta"
"indiscriminado, da"
"indiscutido, da"
"indisimulado, da"
"indispuesto, ta"
"indistinto, ta"
"individualizador, ra"
"individuo, dua"
"indiviso, sa"
"indiófilo, la"
"indo, da"
"indo-iranio, nia"
"indoamericano, na"
"indoantillano, na"
"indochino, na"
"indocto, ta"
"indoctrinado, da"
"indocubano, na"
"indocumentado, da"
"indoeuropeo, a"
"indogermánico, ca"
"indoiranio, nia"
"indoloro, ra"
"indomado, da"
"indomesticado, da"
"indoméstico, ca"
"indonesio, sia"
"indostano, na"
"indostanés, sa"
"indostánico, ca"
"indotado, da"
"indubitado, da"
"inducidor, ra"
"inductivo, va"
"inductor, ra"
"indumentario, ria"
"industrioso, sa"
"indómito, ta"
"ineducado, da"
"inefectivo, va"
"inepto, ta"
"inequívoco, ca"
"inervador, ra"
"inescrupuloso, sa"
"inespecífico, ca"
"inesperado, da"
"inestimado, da"
"inexacto, ta"
"inexhausto, ta"
"inexperto, ta"
"inexplicado, da"
"inexplorado, da"
"inexpresado, da"
"inexpresivo, va"
"inextenso, sa"
"infacundo, da"
"infamador, ra"
"infamativo, va"
"infamatorio, ria"
"infamoso, sa"
"infando, da"
"infante, ta"
"infantino, na"
"infanzonado, da"
"infanzón, na"
"infartado, da"
"infausto, ta"
"infeccioso, sa"
"infectivo, va"
"infecto, ta"
"infecto-contagioso, sa"
"infectocontagioso, sa"
"infecundo, da"
"inferno, na"
"infesto, ta"
"infidelísimo, ma"
"infido, da"
"infijo, ja"
"infiltrado, da"
"infiltrativo, va"
"infinido, da"
"infinito, ta"
"infintoso, sa"
"infistiútico, ca"
"inflacionario, ria"
"inflador, ra"
"inflamador, ra"
"inflamatorio, ria"
"inflativo, va"
"infográfico, ca"
"informador, ra"
"informativo, va"
"informático, ca"
"infortunado, da"
"infortuno, na"
"infracto, ta"
"infractor, ra"
"infrahumano, na"
"infraoctavo, va"
"infraorbitario, ria"
"infrarrojo, ja"
"infrascripto, ta"
"infrascrito, ta"
"infrasónico, ca"
"infructuoso, sa"
"infructífero, ra"
"infrugífero, ra"
"infundado, da"
"infundioso, sa"
"infurcioniego, ga"
"infuso, sa"
"ingeniero, ra"
"ingenioso, sa"
"ingenuo, nua"
"inglés, sa"
"ingrato, ta"
"ingresivo, va"
"ingrido, da"
"ingrávido, da"
"inguinario, ria"
"ingusetio, tia"
"ingénito, ta"
"ingón, na"
"inhabitado, da"
"inhacedero, ra"
"inhibidor, ra"
"inhibitorio, ria"
"inhiesto, ta"
"inhonesto, ta"
"inhospitalario, ria"
"inhumano, na"
"inhóspito, ta"
"iniciado, da"
"iniciador, ra"
"iniciativo, va"
"iniciático, ca"
"inicuo, cua"
"inigualado, da"
"inimicísimo, ma"
"ininterrumpido, da"
"injertador, ra"
"injuriador, ra"
"injurioso, sa"
"injustificado, da"
"injusto, ta"
"inmaculado, da"
"inmaduro, ra"
"inmaturo, ra"
"inmediato, ta"
"inmenso, sa"
"inmerecido, da"
"inmeritorio, ria"
"inmersivo, va"
"inmerso, sa"
"inmigratorio, ria"
"inmobiliario, ria"
"inmoderado, da"
"inmodesto, ta"
"inmolador, ra"
"inmortificado, da"
"inmotivado, da"
"inmoto, ta"
"inmovilizador, ra"
"inmundo, da"
"inmunitario, ria"
"inmunizador, ra"
"inmunodepresor, ra"
"inmunodeprimido, da"
"inmunológico, ca"
"inmunosupresor, ra"
"inmunosuprimido, da"
"inmunólogo, ga"
"inmutativo, va"
"inmérito, ta"
"inmódico, ca"
"innato, ta"
"innecesario, ria"
"innocuo, cua"
"innominado, da"
"innoto, ta"
"innovador, ra"
"innovativo, va"
"innúmero, ra"
"inocentón, na"
"inoculador, ra"
"inocuo, cua"
"inodoro, ra"
"inofensivo, va"
"inofenso, sa"
"inoficioso, sa"
"inoperativo, va"
"inopinado, da"
"inoportuno, na"
"inordenado, da"
"inordinado, da"
"inorgánico, ca"
"inquietador, ra"
"inquieto, ta"
"inquilino, na"
"inquiridor, ra"
"inquisidor, ra"
"inquisitivo, va"
"inquisitorio, ria"
"insaculador, ra"
"insano, na"
"insatisfactorio, ria"
"insatisfecho, cha"
"insaturado, da"
"inscripto, ta"
"inscrito, ta"
"insectívoro, ra"
"inseguro, ra"
"insensato, ta"
"insepultado, da"
"insepulto, ta"
"inserto, ta"
"insidiador, ra"
"insidioso, sa"
"insignido, da"
"insincero, ra"
"insinuador, ra"
"insinuativo, va"
"insolidario, ria"
"insoluto, ta"
"insonoro, ra"
"insospechado, da"
"inspector, ra"
"inspirado, da"
"inspirador, ra"
"inspirativo, va"
"inspiratorio, ria"
"instalador, ra"
"instantáneo, a"
"instaurador, ra"
"instaurativo, va"
"instigador, ra"
"instintivo, va"
"instituidor, ra"
"institutor, ra"
"instructivo, va"
"instructor, ra"
"instruido, da"
"insubordinado, da"
"insufridero, ra"
"insulano, na"
"insulso, sa"
"insultador, ra"
"insumiso, sa"
"insurrecto, ta"
"insípido, da"
"insólito, ta"
"intacto, ta"
"integrador, ra"
"integérrimo, ma"
"intelectivo, va"
"inteligenciado, da"
"intemperado, da"
"intempestivo, va"
"intencionado, da"
"intendente, ta"
"intensificador, ra"
"intensivo, va"
"intenso, sa"
"intento, ta"
"interactivo, va"
"interamericano, na"
"interandino, na"
"interbancario, ria"
"intercambiador, ra"
"interceptor, ra"
"intercesor, ra"
"intercomunitario, ria"
"interconectado, da"
"intercutáneo, a"
"interdisciplinario, ria"
"interesado, da"
"interfalángico, ca"
"interfecto, ta"
"interfijo, ja"
"intergaláctico, ca"
"interiano, na"
"interinario, ria"
"interino, na"
"interiorano, na"
"interiorizado, da"
"interjectivo, va"
"interlocutor, ra"
"interlocutorio, ria"
"intermediado, da"
"intermediador, ra"
"intermediario, ria"
"intermedio, dia"
"interno, na"
"internáutico, ca"
"interoceánico, ca"
"interparlamentario, ria"
"interplanetario, ria"
"interpolador, ra"
"interpretador, ra"
"interpretativo, va"
"interpuesto, ta"
"interrogador, ra"
"interrogativo, va"
"interruptor, ra"
"intersubjetivo, va"
"interurbano, na"
"intervenidor, ra"
"interventor, ra"
"intervocálico, ca"
"interétnico, ca"
"interóseo, a"
"intestado, da"
"intestino, na"
"intibucano, na"
"intimatorio, ria"
"intimidador, ra"
"intimidativo, va"
"intimidatorio, ria"
"intocado, da"
"intonso, sa"
"intradérmico, ca"
"intrahistórico, ca"
"intranquilizador, ra"
"intranquilo, la"
"intransitivo, va"
"intrauterino, na"
"intravenoso, sa"
"intricado, da"
"intrincado, da"
"introducidor, ra"
"introducto, ta"
"introductor, ra"
"introductorio, ria"
"introspectivo, va"
"introverso, sa"
"introvertido, da"
"intruso, sa"
"intráneo, a"
"intrépido, da"
"intrínseco, ca"
"intuitivo, va"
"inulto, ta"
"inundatorio, ria"
"inurbano, na"
"inusado, da"
"inusitado, da"
"inutilizado, da"
"invariado, da"
"invasivo, va"
"invasor, ra"
"invencionero, ra"
"inventador, ra"
"inventivo, va"
"inventor, ra"
"inverecundo, da"
"invernador, ra"
"invernizo, za"
"inverso, sa"
"inversor, ra"
"invertebrado, da"
"invertido, da"
"investigador, ra"
"investigativo, va"
"investigatorio, ria"
"inveterado, da"
"invicto, ta"
"invidioso, sa"
"inviolado, da"
"invirtuoso, sa"
invita Minerva
"invitado, da"
"invitador, ra"
"invito, ta"
"invocador, ra"
"invocatorio, ria"
"involuntario, ria"
"involutivo, va"
"inválido, da"
"inyectador, ra"
"inyectivo, va"
"inyector, ra"
"inédito, ta"
"ionizador, ra"
"iqueño, ña"
"iquiqueño, ña"
"iquiteño, ña"
"iracundo, da"
"irado, da"
"iranio, nia"
"iridiado, da"
"iridáceo, a"
"iridólogo, ga"
"irisado, da"
"irlandesco, ca"
"irlandés, sa"
"iroqués, sa"
"irradiador, ra"
"irredento, ta"
"irreflexivo, va"
"irreligioso, sa"
"irremunerado, da"
"irrequieto, ta"
"irresoluto, ta"
"irrespetuoso, sa"
"irrestricto, ta"
"irresuelto, ta"
"irrisorio, ria"
"irritador, ra"
"irritativo, va"
"irruptor, ra"
"irunés, sa"
"irupaneño, ña"
"irénico, ca"
"irídeo, a"
"irónico, ca"
"isabelino, na"
"isabelo, la"
"isagógico, ca"
"isiaco, ca"
"isidoriano, na"
"isidro, dra"
"islamófobo, ba"
"islamólogo, ga"
"islandés, sa"
"isleño, ña"
"islámico, ca"
"islándico, ca"
"isobaro, ra"
"isobárico, ca"
"isobático, ca"
"isodinámico, ca"
"isoentrópico, ca"
"isofónico, ca"
"isogénico, ca"
"isomorfo, fa"
"isométrico, ca"
"isoperímetro, tra"
"isosilábico, ca"
"isotermo, ma"
"isotérmico, ca"
"isotónico, ca"
"isotópico, ca"
"isquiático, ca"
"isquémico, ca"
"israelítico, ca"
"istmeño, ña"
"isíaco, ca"
"isóbaro, ra"
"isócrono, na"
"isófono, na"
"isógono, na"
"isómero, ra"
"isóptero, ra"
"isótropo, pa"
"italiano, na"
"italianófilo, la"
"italorrománico, ca"
"iterativo, va"
"itifálico, ca"
"itinerario, ria"
"itálico, ca"
"izquierdo, da"
"izquierdoso, sa"
"iónico, ca"
"jabado, da"
"jabalinero, ra"
"jabalí, lina"
"jabato, ta"
"jabeguero, ra"
"jabonador, ra"
"jabonero, ra"
"jabonoso, sa"
"jacalero, ra"
"jacalteco, ca"
"jacarandino, na"
"jacarando, da"
"jacarandoso, sa"
"jacarero, ra"
"jacerino, na"
"jacetano, na"
"jachudo, da"
"jachón, na"
"jacintino, na"
"jacobeo, a"
"jacobino, na"
"jacoibo, ba"
"jactancioso, sa"
"jaculatorio, ria"
"jaecero, ra"
"jaenero, ra"
"jaenés, sa"
"jafético, ca"
"jalado, da"
"jalador, ra"
"jalapaneco, ca"
"jalapeño, ña"
"jaldado, da"
"jaldo, da"
"jaleador, ra"
"jalifiano, na"
"jamaicano, na"
"jamaiquino, na"
"jamonero, ra"
"janano, na"
"janicho, cha"
"japonés, sa"
"japón, na"
"jaquecoso, sa"
"jaquelado, da"
"jaqués, sa"
"jarameño, ña"
"jaranero, ra"
"jarciero, ra"
"jardinero, ra"
"jarifiano, na"
"jarifo, fa"
"jaro, ra"
"jarocho, cha"
"jaroso, sa"
"jarrer, ra"
"jarrero, ra"
"jaspeado, da"
"jativés, sa"
"jato, ta"
"jaudo, da"
"jaujino, na"
"jaulero, ra"
"jauto, ta"
"javanés, sa"
"javiereño, ña"
"javo, va"
"jayán, na"
"jazarino, na"
"jazmíneo, a"
"jazzístico, ca"
"jaño, ña"
"jebuseo, a"
"jediondo, da"
"jefazo, za"
"jefe, fa"
"jenízaro, ra"
"jerarquizador, ra"
"jeremiaco, ca"
"jeremíaco, ca"
"jerezano, na"
"jerifiano, na"
"jeringador, ra"
"jeringón, na"
"jeroglífico, ca"
"jeronimiano, na"
"jerosolimitano, na"
"jerárquico, ca"
"jerónimo, ma"
"jesnato, ta"
"jesuitino, na"
"jesuítico, ca"
"jetudo, da"
"jetón, na"
"jicarero, ra"
"jicarudo, da"
"jifero, ra"
"jijonenco, ca"
"jilguero, ra"
"jimio, mia"
"jincho, cha"
"jinetero, ra"
"jinotegano, na"
"jiotoso, sa"
"jiotudo, da"
"jipato, ta"
"jirocho, cha"
"jironado, da"
"jismero, ra"
"jitomatero, ra"
"jocoserio, ria"
"jocoso, sa"
"jocundo, da"
"jodedor, ra"
"jodión, na"
"jodón, na"
"jojoto, ta"
"jolino, na"
"joloano, na"
"jolín, na"
"jonio, nia"
"jonronero, ra"
"jordano, na"
"jorguín, na"
"jornalero, ra"
"jorobado, da"
"josefino, na"
"jostrado, da"
"jotero, ra"
"joviano, na"
"joyero, ra"
"juandediano, na"
"juanetudo, da"
"juanramoniano, na"
"juardoso, sa"
"jubetero, ra"
"jubilado, da"
"jubilatorio, ria"
"jubiloso, sa"
"juco, ca"
"judaico, ca"
"judeoconverso, sa"
"judeocristiano, na"
"judeoespañol, la"
"judicativo, va"
"judiciario, ria"
"judicioso, sa"
"judiego, ga"
"judío, a"
"juez, za"
"jugado, da"
"jugador, ra"
"juglar, resa"
"juglaresco, ca"
"juglándeo, a"
"jugoso, sa"
"juguetero, ra"
"juguetón, na"
"jugón, na"
"juicioso, sa"
"juigalpino, na"
"jujeño, ña"
"julango, ga"
"juliano, na"
"juliaqueño, ña"
"jumento, ta"
"jumo, ma"
"juncino, na"
"juncoso, sa"
"juncáceo, a"
"junior, ra"
"juntador, ra"
"juntero, ra"
"junto, ta"
"jupiterino, na"
"jupón, na"
"jurado, da"
"jurador, ra"
"jurdano, na"
"jurero, ra"
"jurisconsulto, ta"
"jurisperito, ta"
"jurquero, ra"
"jurásico, ca"
"jurídico, ca"
"justiciero, ra"
"justificado, da"
"justificador, ra"
"justificativo, va"
"justinianeo, a"
"justo, ta"
"jutiapaneco, ca"
"juvenco, ca"
"juzgador, ra"
"jácaro, ra"
"jámbico, ca"
"jándalo, la"
"jíbaro, ra"
"jónico, ca"
"júnceo, a"
"kafkiano, na"
"kalmuko, ka"
"kantiano, na"
"kazajo, ja"
"kazako, ka"
"keniano, na"
"keynesiano, na"
"kilométrico, ca"
"kinesiológico, ca"
"kinesioterápico, ca"
"kinesiterápico, ca"
"kinesiólogo, ga"
"kinésico, ca"
"kiosquero, ra"
"kirguiso, sa"
"kirguizio, zia"
"kirguizo, za"
"kiribatiano, na"
"kremlinólogo, ga"
"kurdo, da"
"kárstico, ca"
"laberíntico, ca"
"labiado, da"
"labihendido, da"
"labioso, sa"
"laborioso, sa"
"laboroso, sa"
"labradero, ra"
"labrado, da"
"labrador, ra"
"labradoresco, ca"
"labradío, a"
"labrantín, na"
"labrantío, a"
"labrero, ra"
"labriego, ga"
"laburador, ra"
"lacado, da"
"lacandón, na"
"lacayo, ya"
"lacayuno, na"
"lacedemonio, nia"
"lacedemón, na"
"lacerado, da"
"lacerioso, sa"
"lacertoso, sa"
"lacetano, na"
"lacho, cha"
"laciniado, da"
"lacio, cia"
"lacivo, va"
"laconio, nia"
"lacrimoso, sa"
"lacrimógeno, na"
"lactario, ria"
"lacteado, da"
"lacticinoso, sa"
"lacticíneo, a"
"lactífero, ra"
"lacón, na"
"lacónico, ca"
"ladeado, da"
"ladero, ra"
"laderoso, sa"
"ladilloso, sa"
"ladino, na"
"ladrador, ra"
"ladrillero, ra"
"ladrilloso, sa"
"ladronesco, ca"
"ladronzuelo, la"
"ladrón, na"
"lagarero, ra"
"lagartado, da"
"lagarterano, na"
"lagartero, ra"
"lagartijero, ra"
"lagarto, ta"
"lagartón, na"
"lagañoso, sa"
"lagotero, ra"
"lagrimoso, sa"
"lagrimón, na"
"lagunero, ra"
"lagunoso, sa"
"laico, ca"
"laido, da"
"lambayecano, na"
"lambiotón, na"
"lambiscón, na"
"lambistón, na"
"lambión, na"
"lambrucio, cia"
"lambrón, na"
"lambucero, ra"
"lambucio, cia"
"lambuzo, za"
"lambón, na"
"lamedor, ra"
"lamentador, ra"
"lamentoso, sa"
"lamerón, na"
"lamido, da"
"laminador, ra"
"laminero, ra"
"laminoso, sa"
"lamoso, sa"
"lamparero, ra"
"lamparoso, sa"
"lampeño, ña"
"lampistero, ra"
"lampiño, ña"
"lanado, da"
"lancasteriano, na"
"lanceado, da"
"lanceolado, da"
"lancero, ra"
"lanero, ra"
"langaruto, ta"
"langostero, ra"
"languarico, ca"
"languedociano, na"
"lanoso, sa"
"lanudo, da"
"lanuginoso, sa"
"lanzado, da"
"lanzador, ra"
"lanzaroteño, ña"
"lanífero, ra"
"lanío, a"
"laosiano, na"
"laparoscópico, ca"
"lapidario, ria"
"lapidoso, sa"
"lapidífico, ca"
"lapso, sa"
"lapídeo, a"
"lapón, na"
"laqueado, da"
"lardero, ra"
"lardoso, sa"
"lardáceo, a"
"lareño, ña"
"largo, ga"
"largueado, da"
"larguero, ra"
"larguirucho, cha"
"largurucho, cha"
"laricino, na"
"laringólogo, ga"
"larvado, da"
"larvario, ria"
"laríngeo, a"
"lascivo, va"
"laso, sa"
"lastimador, ra"
"lastimero, ra"
"lastimoso, sa"
"latacungueño, ña"
"latebroso, sa"
"latero, ra"
"laticífero, ra"
"latigudo, da"
"latiguero, ra"
"latinado, da"
"latinizador, ra"
"latino, na"
"latinoamericano, na"
"latitudinario, ria"
"lato, ta"
"latonero, ra"
"latoso, sa"
"latréutico, ca"
"lauchero, ra"
"laudatorio, ria"
"laureado, da"
"lauretano, na"
"laurino, na"
"lauráceo, a"
"laurífero, ra"
"lauríneo, a"
laus Deo
"lauto, ta"
"lavado, da"
"lavador, ra"
"lavandero, ra"
"lavativo, va"
"laxativo, va"
"laxo, xa"
"layador, ra"
"layetano, na"
"lazarino, na"
"lazaroso, sa"
"lebaniego, ga"
"lebrero, ra"
"lebrijano, na"
"lebruno, na"
"lebulense, sa"
"lechero, ra"
"lechigado, da"
"lechoso, sa"
"lechucero, ra"
"lechugado, da"
"lechuguero, ra"
"lechuguino, na"
"lechuzo, za"
"lechón, na"
"lectivo, va"
"lector, ra"
"ledo, da"
"leedor, ra"
"legamoso, sa"
"leganoso, sa"
"legatario, ria"
"legañoso, sa"
"legendario, ria"
"legionario, ria"
"legislador, ra"
"legislativo, va"
"legisperito, ta"
"legitimador, ra"
"legitimario, ria"
"lego, ga"
"leguario, ria"
"leguleyo, ya"
"leguminoso, sa"
"legítimo, ma"
"lejano, na"
"lelo, la"
"lemnio, nia"
"lemnáceo, a"
"lemosín, na"
"lempireño, ña"
"lempo, pa"
"lencero, ra"
"lendroso, sa"
"lenguatón, na"
"lengudo, da"
"lengüetero, ra"
"lengüicorto, ta"
"lengüilargo, ga"
"lenificativo, va"
"lenitivo, va"
"lento, ta"
"leonado, da"
"leonero, ra"
"leonino, na"
"leonés, sa"
"leopardo, da"
"leporino, na"
"leprosero, ra"
"leproso, sa"
"leptorrino, na"
"lerdo, da"
"leridano, na"
"lerneo, a"
"lesbiano, na"
"lesbio, bia"
"lesionador, ra"
"lesivo, va"
"leso, sa"
"letargoso, sa"
"leteo, a"
"leticiano, na"
"letrado, da"
"letraherido, da"
"letrero, ra"
"letrudo, da"
"letárgico, ca"
"letífico, ca"
"letón, na"
"leucofeo, a"
"leucémico, ca"
"leudo, da"
"levadero, ra"
"levadizo, za"
"levantado, da"
"levantador, ra"
"levantino, na"
"levantisco, ca"
"levudo, da"
"levítico, ca"
"levógiro, ra"
"lexicográfico, ca"
"lexicológico, ca"
"lexicógrafo, fa"
"lexicólogo, ga"
"leyendario, ria"
"leído, da"
"leñador, ra"
"leñatero, ra"
"leñero, ra"
"leñoso, sa"
"león, na"
"liante, ta"
"libanés, sa"
"libelático, ca"
"liberado, da"
"liberador, ra"
"liberalizador, ra"
"liberatorio, ria"
"liberiano, na"
"libertado, da"
"libertador, ra"
"libertario, ria"
"liberteño, ña"
"libertino, na"
"liberto, ta"
"libidinoso, sa"
"libio, bia"
"librado, da"
"librador, ra"
"librano, na"
"librepensador, ra"
"librero, ra"
"libresco, ca"
"libriano, na"
"libérrimo, ma"
"licantrópico, ca"
"licenciado, da"
"licenciador, ra"
"licenciatario, ria"
"licencioso, sa"
"licio, cia"
"licitador, ra"
"licitatorio, ria"
"licnobio, bia"
"licopodíneo, a"
"licorero, ra"
"licoroso, sa"
"licuefactivo, va"
"licurgo, ga"
"licántropo, pa"
